Orario;Giorni;Fermate
;;
;;
;;
06:30;L-S;Casarene (Squibb), Fontana Ceraso, Pantanello, Tofe Pistone, Osteria della Fontana, Quattro Strade, Sub Sud, Porta S. Francesco, S. Giorgetto
06:55;L-V;Casarene (Squibb), Cantina Sociale, Tofe Pistone, Osteria La Noce, Via Casilina, km. 67, Strada Provinciale Anagni/Ferentino (Muraglione), Cardinali, Tufano, Vallevona, S. Giorgetto
07:20;L-V;Casarene (Squibb), Bivio Morolo, Fosso del Lupo, Pantanello, Osteria della Fontana, Quattro Strade, Sub Nord, Piscina, S. Giorgetto, Vignola
07:20;S;Casarene (Squibb), Fosso del Lupo, Pantanello, Tofe Pistone, Osteria della Fontana, San Bartolomeo, Faito, Ponte Piano, Sub Nord, Cimitero , Vignola
09:00;L-S;Casarene (Squibb), Bivio Morolo, Fosso del Lupo, Pantanello, Tofe Pistone, Osteria della Fontana, Quattro Strade, Sub Nord, Cimitero, Vignola
11:35;L-S;Casarene (Squibb), Cantina Sociale, Osteria della Fontana, Quattro Strade, Sub Sud, S. Giorgetto, Vignola
12:40;L-S;Casarene (Squibb), Via Casalotto, Osteria della Fontana, Quattro Strade, Sub Nord, Piscina, S. Giorgetto, Vignola
17:30;L-S;Casarene (Squibb), Cantina Sociale, Osteria della Fontana, Cava S. Magno, Sub Sud, Piscina, S. Giorgetto, Vignola
;;
;;
;;
06:55;L-S;Vignola, S. Giorgetto, Sub Sud, Porta S. Francesco, Quattro Strade, Via Collacciano, Osteria della Fontana, Cantina Sociale, Casarene (Squibb)
08:35;L-S;Vignola, S. Giorgetto, Sub Sud, Porta S. Francesco, Quattro Strade, Via Collacciano, Osteria della Fontana, Cantina Sociale, Casarene (Squibb)
10:55;L-S;Vignola, S. Giorgetto, Sub Sud, Porta S. Francesco, Quattro Strade, Via Collacciano, Osteria della Fontana, Osteria La Noce, Pantanello, Fosso del Lupo, Casarene (Squibb)
12:00;L-S;Vignola, S. Giorgetto, Sub Sud, Porta S. Francesco, Quattro Strade, Via Collacciano, Osteria della Fontana, Osteria La Noce, Pantanello, Fosso del Lupo, Casarene (Squibb)
13:30;L-S;Vignola, S. Giorgetto, Sub Sud, Porta S. Francesco, Quattro Strade, Osteria della Fontana, Casarene (Squibb), Fosso del Lupo, Pantanello, Osteria La Noce, Cantina Sociale, Casarene (Squibb)
14:05;L-S;S. Giorgetto, Sub Sud, Porta S. Francesco, Quattro Strade, Via Collacciano, Osteria della Fontana, Osteria La Noce, Pantanello, Fosso del Lupo, Bivio Morolo, Casarene (Squibb)
17:05;L-S;Vignola, Strada Provinciale Anagni/Ferentino (Muraglione), Casilina, km.67, Osteria La Noce, Pantanello, Fontana Ceraso, Casarene (Squibb)
20:00;L-S;Vignola, S. Giorgetto, Sub Sud, Sub Nord, Vallevona, Tufano, Osteria La Noce, Pantanello, Fonte Ceraso, Casarene
;;
;;
;;
06:40;L-S;Bivio Fiuggi (Coop), S. Filippo, Prato, Vignola
07:20;L-V;S. Giorgetto, Sub Sud, Porta S. Francesco, Bivio Fiuggi (Coop), Strada Regionale Anticolana, Bivio S. Filippo, Prato, Vignola
